"","x"
"Bhadrapur Q1",0.8755735540889
"Bhadrapur Q2",0.851928773094833
"Bhadrapur Q3",0.831280374718081
"Bhadrapur Q4",0.832434830226804
"Bhadrapur Q5",0.840277273641215
"Bhadrapur Q6",0.849715886208527
"Bhadrapur Q7",0.871038570383899
"Bhadrapur Q8",0.853749795623624
"Bhadrapur Q9",0.843333159829018
"Bhadrapur Q10",0.853964658626067
"Bhadrapur Q11",0.85057081786195
"Bhadrapur Q12",0.880160954948004
"Bhadrapur Q13",0.894192833465656
"Bhairawa  Q1",0.981797306943679
"Bhairawa  Q2",0.943401138744056
"Bhairawa  Q3",0.921278117204095
"Bhairawa  Q4",0.939370869452267
"Bhairawa  Q5",0.94007027094735
"Bhairawa  Q6",0.924266570503289
"Bhairawa  Q7",0.939233965960539
"Bhairawa  Q8",0.933672574802333
"Bhairawa  Q9",0.899830382231334
"Bhairawa  Q10",0.897114490014893
"Bhairawa  Q11",0.870596540047573
"Bhairawa  Q12",0.907192077058767
"Bhairawa  Q13",0.921862062373697
"Birgunj Q1",0.932042125284241
"Birgunj Q2",0.912892446092091
"Birgunj Q3",0.922886427275095
"Birgunj Q4",0.919787475302083
"Birgunj Q5",0.920993139125503
"Birgunj Q6",0.937720141890336
"Birgunj Q7",0.911612136969328
"Birgunj Q8",0.897334961916126
"Birgunj Q9",0.899731483262311
"Birgunj Q10",0.919200257397335
"Birgunj Q11",0.897379221886088
"Birgunj Q12",0.918372452881573
"Birgunj Q13",0.913294756504268
"Biratnagar Q1",0.924450219641812
"Biratnagar Q2",0.926927929298706
"Biratnagar Q3",0.935563008388786
"Biratnagar Q4",0.936212875223599
"Biratnagar Q5",0.934000234653988
"Biratnagar Q6",0.933326175107438
"Biratnagar Q7",0.938943325694203
"Biratnagar Q8",0.910827061662074
"Biratnagar Q9",0.918955184615267
"Biratnagar Q10",0.919159832431707
"Biratnagar Q11",0.884201215401818
"Biratnagar Q12",0.906327909987734
"Biratnagar Q13",0.922777891687433
"Karkarvitta Q1",0.950908183682985
"Karkarvitta Q2",0.952581305437498
"Karkarvitta Q3",0.948371681710761
"Karkarvitta Q4",0.954548260088783
"Karkarvitta Q5",0.95504227769749
"Karkarvitta Q6",0.955222288354813
"Karkarvitta Q7",0.960805821133804
"Karkarvitta Q8",0.935566963663337
"Karkarvitta Q9",0.948708357278065
"Karkarvitta Q10",0.923195801675009
"Karkarvitta Q11",0.886363588328679
"Karkarvitta Q12",0.936379372269326
"Karkarvitta Q13",0.94730836472776
"Nepalgunj Q1",0.901378214614245
"Nepalgunj Q2",0.882590638151772
"Nepalgunj Q3",0.877275504282589
"Nepalgunj Q4",0.892658825312141
"Nepalgunj Q5",0.880728565085197
"Nepalgunj Q6",0.888181394878669
"Nepalgunj Q7",0.853851228258863
"Nepalgunj Q8",0.893275475126126
"Nepalgunj Q9",0.936341478300038
"Nepalgunj Q10",0.927077880422401
"Nepalgunj Q11",0.785834049503622
"Nepalgunj Q12",0.883965671411802
"Nepalgunj Q13",0.898030538675063
"Mahendranagar Q1",0.944108937911901
"Mahendranagar Q2",0.966402353049781
"Mahendranagar Q3",0.929035302919908
"Mahendranagar Q4",0.903767076013924
"Mahendranagar Q5",0.911293629577484
"Mahendranagar Q6",0.918684380734785
"Mahendranagar Q7",0.911467270189104
"Mahendranagar Q8",0.918479072071251
"Mahendranagar Q9",0.931107978731222
"Mahendranagar Q10",0.912507829812275
"Mahendranagar Q11",0.935019015764436
"Mahendranagar Q12",0.94785542790182
"Mahendranagar Q13",0.941130022097852
