"","","Bhadrapur Q1","Bhadrapur Q2","Bhadrapur Q3","Bhadrapur Q4","Bhadrapur Q5","Bhadrapur Q6","Bhadrapur Q7","Bhadrapur Q8","Bhadrapur Q9","Bhadrapur Q10","Bhadrapur Q11","Bhadrapur Q12","Bhadrapur Q13","Bhairawa  Q1","Bhairawa  Q2","Bhairawa  Q3","Bhairawa  Q4","Bhairawa  Q5","Bhairawa  Q6","Bhairawa  Q7","Bhairawa  Q8","Bhairawa  Q9","Bhairawa  Q10","Bhairawa  Q11","Bhairawa  Q12","Bhairawa  Q13","Birgunj Q1","Birgunj Q2","Birgunj Q3","Birgunj Q4","Birgunj Q5","Birgunj Q6","Birgunj Q7","Birgunj Q8","Birgunj Q9","Birgunj Q10","Birgunj Q11","Birgunj Q12","Birgunj Q13","Biratnagar Q1","Biratnagar Q2","Biratnagar Q3","Biratnagar Q4","Biratnagar Q5","Biratnagar Q6","Biratnagar Q7","Biratnagar Q8","Biratnagar Q9","Biratnagar Q10","Biratnagar Q11","Biratnagar Q12","Biratnagar Q13","Karkarvitta Q1","Karkarvitta Q2","Karkarvitta Q3","Karkarvitta Q4","Karkarvitta Q5","Karkarvitta Q6","Karkarvitta Q7","Karkarvitta Q8","Karkarvitta Q9","Karkarvitta Q10","Karkarvitta Q11","Karkarvitta Q12","Karkarvitta Q13","Nepalgunj Q1","Nepalgunj Q2","Nepalgunj Q3","Nepalgunj Q4","Nepalgunj Q5","Nepalgunj Q6","Nepalgunj Q7","Nepalgunj Q8","Nepalgunj Q9","Nepalgunj Q10","Nepalgunj Q11","Nepalgunj Q12","Nepalgunj Q13","Mahendranagar Q1","Mahendranagar Q2","Mahendranagar Q3","Mahendranagar Q4","Mahendranagar Q5","Mahendranagar Q6","Mahendranagar Q7","Mahendranagar Q8","Mahendranagar Q9","Mahendranagar Q10","Mahendranagar Q11","Mahendranagar Q12","Mahendranagar Q13"
"Bhadrapur Q1",0.963669654042594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3771,0,0,0,0,0,0,0,0,0,0.0859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q2",0.922424130615257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6636,0.1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q3",0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q4",0.901794571196681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2044,0,0,0,0,0,0,0,0,0,0.5532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q5",0.918189330639978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q6",0.927299703264095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q7",0.959324635456638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2129,0,0,0,0,0,0,0,0,0,0.6695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q8",0.923872875092387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2043,0,0,0,0,0,0,0,0,0,0.6396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q9",0.916674305619213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608,0,0,0,0,0,0,0,0,0,0.4932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhadrapur Q10",0.919371150133309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
