Station,Quarter,IRF_forms,IRF_Com,VIF_forms,VIF_Com,IRF_forms_Rec,IRF_Com_Rec,VIF_forms_Rec,VIF_Com_Rec,Actual_VIF,Actual_IRF,Actual_VIFCom,Actual_IRFCom,VIF_Perc_Increase,IRF_Perc_Increase,VIFCom_Perc_Increase,IRFCom_Perc_Increase
Bhadrapur,1,0.4919,0.069042029,0.379,0.036464,Under,Under,Under,Under,10,13,0.963636364,0.820512821,0.0379,0.037838462,0.03784,0.084144973
Bhadrapur,2,3.5976,0.071672621,1.093,0.077079072,Under,Under,Under,Under,13,12,0.916083916,0.851851852,0.084076923,0.2998,0.08413975,0.084137425
Bhadrapur,3,4.2605,0.094741786,0.901,0.091009,Under,Under,Under,Under,9,9,0.909090909,0.802469136,0.100111111,0.473388889,0.1001099,0.118062841
Bhadrapur,4,2.1807,0.090744048,4.0057,0.097973138,Under,Under,Under,Under,17,20,0.898395722,0.788888889,0.235629412,0.109035,0.109053433,0.115027666
Bhadrapur,5,1.5568,0.102853962,0.892,0.081818,Under,Under,Under,Under,10,11,0.918181818,0.797979798,0.0892,0.141527273,0.089108713,0.12889294
Bhadrapur,6,3.5136,0.086323723,0.784,0.072727,Under,Under,Under,Under,10,9,0.927272727,0.814814815,0.0784,0.3904,0.078431078,0.105942751
Bhadrapur,7,0.638,0.076383756,0.4689,0.04072506,Under,Under,Under,Under,11,15,0.958677686,0.8,0.042627273,0.042533333,0.042480451,0.095479695
Bhadrapur,8,1.3999,0.067616512,1.1532,0.07595272,Under,Under,Under,Under,14,17,0.922077922,0.810457517,0.082371429,0.082347059,0.08237126,0.083430051
Bhadrapur,9,1.272,0.078632747,1.1808,0.0833006,Under,Under,Under,Under,13,14,0.916083916,0.793650794,0.090830769,0.090857143,0.090931189,0.099077261
Bhadrapur,10,1.1388,0.073451719,0.8752,0.080516429,Under,Under,Under,Under,10,13,0.918181818,0.837606838,0.08752,0.0876,0.08769116,0.087692358
Bhadrapur,11,0.964,0.075176979,4.5252,0.079602509,Under,Under,Under,Under,7,11,0.909090909,0.858585859,0.646457143,0.087636364,0.08756276,0.08755907
Bhadrapur,12,0.6266,0.036333987,0.7052,0.035691763,Under,Under,Under,Under,18,16,0.914141414,0.930555556,0.039177778,0.0391625,0.039044028,0.039045479
Bhairawa,2,10.2858,0.071178056,1.1946,0.021656246,Under,Under,Under,Under,53,33,0.960548885,0.872053872,0.022539623,0.311690909,0.022545699,0.081621168
Bhairawa,3,8.2466,0.027719688,1.0878,0.030523486,Under,Under,Under,Under,34,20,0.954545455,0.866666667,0.031994118,0.41233,0.031976985,0.031984255
Bhairawa,4,0.7392,0.019640462,4.5742,0.021473046,Under,Under,Under,Under,37,33,0.960687961,0.878787879,0.123627027,0.0224,0.022351738,0.022349491
Bhairawa,7,0.3976,0.013399779,3.2687,0.014880578,Under,Under,Under,Under,30,26,0.972727273,0.876068376,0.108956667,0.015292308,0.01529779,0.015295357
Bhairawa,8,1.1258,0.017732955,0.5435,0.019322004,Under,Under,Under,Under,27,22,0.962962963,0.883838384,0.02012963,0.051172727,0.020065158,0.020063572
Bhairawa,9,0,0.035384253,0,0.038070882,Over,Under,Over,Under,20,17,0.927272727,0.875816994,0,0,0.041056834,0.040401423
Bhairawa,10,1.1087,0.038185253,0,0.038936882,Under,Under,Over,Under,21,14,0.926406926,0.873015873,0,0.079192857,0.042029999,0.043739472
Bhairawa,11,10.1087,0.044534253,8.9083,0.056252882,Under,Under,Under,Under,7,5,0.909090909,0.866666667,1.272614286,2.02174,0.06187817,0.051385677
Birgunj,2,2.123,0.028061231,0.788,0.029733314,Under,Under,Under,Under,25,17,0.941818182,0.888888889,0.03152,0.124882353,0.031570121,0.031568885
Birgunj,3,0.1783,0.015962817,1.1299,0.017419854,Under,Under,Under,Under,12,10,0.96969697,0.888888889,0.094158333,0.01783,0.017964224,0.017958169
