Station,Alt. name,Station_Flow_Rank,Staff #,Station_Duration,Staff_Tenure_Avg(as of station end date),Staff_Tenure_Agg( as of end of station duration),IRF_forms,x1.1_1.3,x2.1_2.5,IRF_Com,VIF_forms,VIF_forms_unique,x1.7, x1.8, x1.9,x1.10,x1.12,x1.15,x1.16,x2.2,VIF_Com,Average_VIF_com_INDV,Average Min Value,AVERAGE using Max
Bhadrapur,,3,8,6.65,7.16,57.3,41,0.976,0.902,0.939,34,24,0.9117647,0.9117647,0.9705882,1,1,1,0.9705882,1,0.970588225,0.970588235,0.985294108,0.987132346
Bhairawa,Bhairahwa,2,8,6.17,6.72,53.8,50,0.58,0.76,0.67,59,47,0.9491525,1,1,1,0.9830508,1,0.9661017,1,0.987288125,0.987903226,0.990542981,0.989360854
Biratnagar,,3,11.33333333,6.09,4.79,47.9,59,0.898,0.695,0.7965,66,50,0.969697,0.9848485,0.9545455,1,0.9545455,0.9545455,0.969697,1,0.973484875,0.973880597,0.972587372,0.974842605
Birgunj,,3,4.25,6.26,4.88,19.5,22,0.909,0.909,0.909,27,21,1,0.9259259,1,1,1,1,0.962963,1,0.986111113,0.986111111,0.991898153,0.990885422
Chaunuta,Chandrauta,2,4.333333333,5.67,3.2,16,88,0.75,0.943,0.8465,4,3,1,1,0.75,1,1,1,1,1,0.96875,0.96875,0.9609375,0.987304688
Dang,,2,2,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galchhi,,1,2,6.17,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaur,,2,2,5.48,4.9,9.8,23,0.826,0.957,0.8915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guleria,,2,6,6.62,3.68,22.1,12,0.667,0.417,0.542,12,9,0.9166667,1,1,1,1,1,0.9166667,1,0.979166675,0.979166667,0,0
Hetauda,,2,3,5.79,4.03,16.1,4,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,0
Jogbani,,1,1.428571429,1.59,0.5,0.5,2,1,0.5,0.75,4,2,1,1,1,1,1,1,1,1,1,1,0,0
Kakarvitta,,3,10,5.65,4.15,41.5,73,0.808,0.945,0.8765,94,57,0.9361702,0.9893617,1,1,1,0.9893617,0.9574468,1,0.98404255,0.984536082,0.984375005,0.859375005
Kathmandu,,3,3.333333333,5.73,3.17,9.5,6,0.667,0.833,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahan,,3,7.166666667,5.42,3.8,26.6,25,0.88,0.68,0.78,30,25,0.9333333,0.9,0.9666667,1,1,1,1,1,0.975,0.975,1,0.875
Mahendranagar,,2,4.333333333,5.61,2.05,8.2,24,0.958,0.792,0.875,21,16,0.8571429,1,1,1,0.952381,1,1,1,0.976190488,0.976190476,1,0.875
Malangwa,,2,2,5.47,4.7,9.4,5,0.6,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narayangadh,Narayanghat,3,2,5.44,4.6,9.2,5,0.4,0.6,0.5,3,1,1,1,1,1,1,1,1,1,1,1,0.989423392,0.987470267
Nawalparasi,,1,4.166666667,5.67,0.5,2.5,30,0.7,0.833,0.7665,14,5,0.9285714,1,1,1,1,0.7142857,0.8571429,1,0.9375,0.9375,0,0
Nepalgunj,,3,7,6.22,3.13,21.9,19,0.737,0.737,0.737,7,5,1,1,1,1,1,1,0.8571429,1,0.982142863,0.983333333,0.989583338,0.99375
Tikapur,,2,5,6.01,3.02,15.1,0.894,0.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
