Ranking,Quarter,Station,CrossEffScores,Model
1,2,Lahan,0.942284127,1
2,2,Kakarvitta,0.932498724,1
3,1,Kakarvitta,0.921817501,1
4,2,Bhairawa,0.904637814,1
5,3,Lahan,0.902594631,1
6,6,Bhairawa,0.901502334,1
7,1,Bhairawa,0.898308155,1
8,7,Kakarvitta,0.895616586,1
9,1,Nepalgunj,0.894780417,1
10,3,Kakarvitta,0.893317743,1
11,1,Lahan,0.885613787,1
12,8,Bhairawa,0.884860169,1
13,5,Kakarvitta,0.879533958,1
14,8,Kakarvitta,0.876513291,1
15,2,Nepalgunj,0.876187902,1
16,7,Bhairawa,0.875632658,1
17,5,Bhairawa,0.874839672,1
18,3,Nepalgunj,0.868878395,1
19,2,Bhadrapur,0.868075968,1
20,3,Bhairawa,0.867968638,1
21,8,Nepalgunj,0.866555086,1
22,7,Lahan,0.865487142,1
23,6,Kakarvitta,0.862115913,1
24,4,Bhadrapur,0.861829029,1
25,4,Nepalgunj,0.860608817,1
26,7,Biratnagar,0.860318981,1
27,4,Kakarvitta,0.859815963,1
28,8,Bhadrapur,0.855355387,1
29,8,Lahan,0.852076601,1
30,4,Lahan,0.850051346,1
31,6,Lahan,0.847046184,1
32,6,Nepalgunj,0.846896058,1
33,8,Biratnagar,0.841573919,1
34,7,Bhadrapur,0.841080275,1
35,6,Bhadrapur,0.840503004,1
36,4,Bhairawa,0.83738225,1
37,5,Nepalgunj,0.82996633,1
38,1,Biratnagar,0.827369399,1
39,1,Bhadrapur,0.824876932,1
40,5,Bhadrapur,0.824311812,1
41,3,Biratnagar,0.821362,1
42,5,Biratnagar,0.819958185,1
43,2,Biratnagar,0.811477108,1
44,4,Biratnagar,0.808434721,1
45,3,Bhadrapur,0.800319762,1
46,7,Nepalgunj,0.792133542,1
47,6,Biratnagar,0.775781777,1
1,2,Kakarvitta,0.953751517,2
2,2,Lahan,0.943916388,2
3,1,Kakarvitta,0.913411413,2
4,3,Lahan,0.88148763,2
5,7,Kakarvitta,0.869249123,2
6,1,Nepalgunj,0.854407716,2
7,3,Kakarvitta,0.840986449,2
8,8,Kakarvitta,0.83592074,2
9,5,Kakarvitta,0.827683461,2
10,3,Nepalgunj,0.815483297,2
11,7,Bhadrapur,0.806375179,2
12,8,Nepalgunj,0.79364289,2
13,2,Bhadrapur,0.784150134,2
14,6,Nepalgunj,0.783400404,2
15,2,Bhairawa,0.783365587,2
16,6,Bhadrapur,0.783085437,2
17,4,Bhadrapur,0.772319563,2
18,8,Bhadrapur,0.771907331,2
19,8,Biratnagar,0.769947032,2
20,7,Lahan,0.769722089,2
21,6,Bhairawa,0.766702177,2
22,1,Bhairawa,0.763375464,2
23,1,Lahan,0.762229922,2
24,2,Nepalgunj,0.75799374,2
25,7,Biratnagar,0.756736417,2
26,7,Bhairawa,0.745385702,2
27,6,Kakarvitta,0.745110244,2
28,1,Bhadrapur,0.736841926,2
29,8,Bhairawa,0.712590247,2
30,4,Nepalgunj,0.706717215,2
31,4,Lahan,0.690720711,2
32,4,Kakarvitta,0.684929441,2
33,6,Lahan,0.673798821,2
34,5,Bhadrapur,0.665171133,2
35,8,Lahan,0.635037183,2
36,5,Bhairawa,0.625057035,2
37,3,Bhairawa,0.615072268,2
38,5,Nepalgunj,0.596540292,2
39,1,Biratnagar,0.562386881,2
40,3,Biratnagar,0.552209776,2
41,5,Biratnagar,0.551739923,2
42,3,Bhadrapur,0.551737275,2
43,6,Biratnagar,0.539208057,2
44,2,Biratnagar,0.52613255,2
45,4,Bhairawa,0.509979465,2
46,4,Biratnagar,0.490779068,2
47,7,Nepalgunj,0.43031644,2
1,2,Lahan,0.947184749,3
2,2,Kakarvitta,0.939155119,3
3,1,Kakarvitta,0.924694514,3
4,2,Bhairawa,0.907455425,3
5,3,Lahan,0.90468856,3
6,7,Kakarvitta,0.901502382,3
7,3,Kakarvitta,0.89937745,3
8,1,Nepalgunj,0.897248955,3
9,6,Bhairawa,0.897247202,3
10,1,Bhairawa,0.896222942,3
