"","Ranking","Station","CrossEffScores","Model"
"1",1,"Lahan Q2",0.942284127087925,1
"2",2,"Kakarvitta Q2",0.932498723659352,1
"3",3,"Kakarvitta Q1",0.921817501463809,1
"4",4,"Bhairawa Q2",0.904637813769032,1
"5",5,"Lahan Q3",0.902594631087856,1
"6",6,"Bhairawa Q6",0.901502334295969,1
"7",7,"Bhairawa Q1",0.898308154927628,1
"8",8,"Kakarvitta Q7",0.89561658591145,1
"9",9,"Nepalgunj Q1",0.894780417107139,1
"10",10,"Kakarvitta Q3",0.893317742518157,1
"11",11,"Lahan Q1",0.885613786671723,1
"12",12,"Bhairawa Q8",0.884860169085345,1
"13",13,"Kakarvitta Q5",0.879533958361127,1
"14",14,"Kakarvitta Q8",0.876513290969111,1
"15",15,"Nepalgunj Q2",0.87618790179591,1
"16",16,"Bhairawa Q7",0.875632657985069,1
"17",17,"Bhairawa Q5",0.874839671933808,1
"18",18,"Nepalgunj Q3",0.868878395151013,1
"19",19,"Bhadrapur Q2",0.868075967725562,1
"20",20,"Bhairawa Q3",0.867968637974332,1
"21",21,"Nepalgunj Q8",0.866555086233184,1
"22",22,"Lahan Q7",0.865487142033388,1
"23",23,"Kakarvitta Q6",0.86211591283369,1
"24",24,"Bhadrapur Q4",0.861829029345378,1
"25",25,"Nepalgunj Q4",0.860608817460065,1
"26",26,"Biratnagar Q7",0.860318981357222,1
"27",27,"Kakarvitta Q4",0.859815962857624,1
"28",28,"Bhadrapur Q8",0.855355386854836,1
"29",29,"Lahan Q8",0.852076601056677,1
"30",30,"Lahan Q4",0.850051345593058,1
"31",31,"Lahan Q6",0.847046184317961,1
"32",32,"Nepalgunj Q6",0.846896058462234,1
"33",33,"Biratnagar Q8",0.841573919115966,1
"34",34,"Bhadrapur Q7",0.841080275253978,1
"35",35,"Bhadrapur Q6",0.840503003953831,1
"36",36,"Bhairawa Q4",0.837382250042134,1
"37",37,"Nepalgunj Q5",0.829966330206017,1
"38",38,"Biratnagar Q1",0.827369399402622,1
"39",39,"Bhadrapur Q1",0.824876932310905,1
"40",40,"Bhadrapur Q5",0.824311812073508,1
"41",41,"Biratnagar Q3",0.821361999626788,1
"42",42,"Biratnagar Q5",0.819958184807196,1
"43",43,"Biratnagar Q2",0.811477107653833,1
"44",44,"Biratnagar Q4",0.808434720570964,1
"45",45,"Bhadrapur Q3",0.800319762066304,1
"46",46,"Nepalgunj Q7",0.792133542023426,1
"47",47,"Biratnagar Q6",0.775781776810494,1
